timestamp,mission_id,geofence_id,home_position_counter,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,item_do_jump_changed,execution_mode
528313470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531054626,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531104598,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531154568,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531204502,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531254595,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531304521,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531354540,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531360280,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531414609,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531464533,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531514620,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531564503,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531614604,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531664597,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531714576,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531764596,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531814575,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531866270,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531924520,0,0,0,0,0,0,0,0,0,0,1,0,0,0
531974568,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532024517,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532074561,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532124534,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532174612,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532224576,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532274735,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532324501,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532372207,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532424542,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532474557,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532524547,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532574695,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532624518,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532674531,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532724573,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532774570,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532824585,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532874569,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532878227,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532934571,0,0,0,0,0,0,0,0,0,0,1,0,0,0
532984534,0,0,0,0,0,0,0,0,0,0,1,0,0,0
533034542,0,0,0,0,0,0,0,0,0,0,1,0,0,0
