timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
266564402,0,1,1,1,0,0,1,0,0,0,1,1
267564448,0,1,1,1,0,0,1,0,0,0,1,1
268094434,0,1,1,1,1,0,1,0,0,0,1,1
268964295,0,1,0,0,1,0,1,0,0,0,1,0
268974406,0,0,0,0,1,0,1,0,0,0,1,0
269984452,0,0,0,0,1,0,0,0,0,0,1,0
270984453,0,0,0,0,1,0,0,0,0,0,1,0
271104263,0,0,0,0,0,0,0,0,0,0,1,0
272104399,0,0,0,0,0,0,0,1,0,0,1,0
273114447,0,0,0,0,0,0,0,1,0,0,1,0
274124267,0,0,0,0,0,0,0,1,0,0,1,0
275134284,0,0,0,0,0,0,0,0,0,0,1,0
276134433,0,0,0,0,0,0,0,0,0,0,1,0
277134460,0,0,0,0,0,0,0,0,0,0,1,0
278144288,0,0,0,0,0,0,0,0,0,0,1,0
279144432,0,0,0,0,0,0,0,0,0,0,1,0
280154453,0,0,0,0,0,0,0,0,0,0,1,0
281164261,0,0,0,0,0,0,0,0,0,0,1,0
282164468,0,0,0,0,0,0,0,0,0,0,1,0
283174298,0,0,0,0,0,0,0,0,0,0,1,0
284174452,0,0,0,0,0,0,0,0,0,0,1,0
285184447,0,0,0,0,0,0,0,0,0,0,1,0
286184448,0,0,0,0,0,0,0,0,0,0,1,0
287184516,0,0,0,0,0,0,0,0,0,0,1,0
288194280,0,0,0,0,0,0,0,0,0,0,1,0
289194444,0,0,0,0,0,0,0,0,0,0,1,0
290204436,0,0,0,0,0,0,0,0,0,0,1,0
291214437,0,0,0,0,0,0,0,0,0,0,1,0
292214439,0,0,0,0,0,0,0,0,0,0,1,0
293224268,0,0,0,0,0,0,0,0,0,0,1,0
294224441,0,0,0,0,0,0,0,0,0,0,1,0
295234339,0,0,0,0,0,0,0,0,0,0,1,0
296234434,0,0,0,0,0,0,0,0,0,0,1,0
297234474,0,0,0,0,0,0,0,0,0,0,1,0
298244436,0,0,0,0,0,0,0,0,0,0,1,0
299254267,0,0,0,0,0,0,0,0,0,0,1,0
300264542,0,0,0,0,0,0,0,0,0,0,1,0
301274280,0,0,0,0,0,0,0,0,0,0,1,0
302274444,0,0,0,0,0,0,0,0,0,0,1,0
303284455,0,0,0,0,0,0,0,0,0,0,1,0
304294447,0,0,0,0,0,0,0,0,0,0,1,0
305304267,0,0,0,0,0,0,0,0,0,0,1,0
306314437,0,0,0,0,0,0,0,0,0,0,1,0
307324438,0,0,0,0,0,0,0,0,0,0,1,0
308334525,0,0,0,0,0,0,0,0,0,0,1,0
309344442,0,0,0,0,0,0,0,0,0,0,1,0
310354263,0,0,0,0,0,0,0,0,0,0,1,0
311354276,0,0,0,0,0,0,0,0,0,0,1,0
312354442,0,0,0,0,0,0,0,0,0,0,1,0
313364326,0,0,0,0,0,0,0,0,0,0,1,0
314364438,0,0,0,0,0,0,0,0,0,0,1,0
315374441,0,0,0,0,0,0,0,0,0,0,1,0
316384453,0,0,0,0,0,0,0,0,0,0,1,0
317384462,0,0,0,0,0,0,0,0,0,0,1,0
318394435,0,0,0,0,0,0,0,0,0,0,1,0
319394446,0,0,0,0,0,0,0,0,0,0,1,0
320404462,0,0,0,0,0,0,0,0,0,0,1,0
321414265,0,0,0,0,0,0,0,0,0,0,1,0
322414275,0,0,0,0,0,0,0,0,0,0,1,0
323414275,0,0,0,0,0,0,0,0,0,0,1,0
324414513,0,0,0,0,0,0,0,0,0,0,1,0
325424445,0,0,0,0,0,0,0,0,0,0,1,0
326434261,0,0,0,0,0,0,0,0,0,0,1,0
327434435,0,0,0,0,0,0,0,0,0,0,1,0
328434436,0,0,0,0,0,0,0,0,0,0,1,0
329444505,0,0,0,0,0,0,0,0,0,0,1,0
330454432,0,0,0,0,0,0,0,0,0,0,1,0
331454454,0,0,0,0,0,0,0,0,0,0,1,0
332464435,0,0,0,0,0,0,0,0,0,0,1,0
333474434,0,0,0,0,0,0,0,0,0,0,1,0
334474438,0,0,0,0,0,0,0,0,0,0,1,0
335474446,0,0,0,0,0,0,0,0,0,0,1,0
336474468,0,0,0,0,0,0,0,0,0,0,1,0
337484435,0,0,0,0,0,0,0,0,0,0,1,0
338494263,0,0,0,0,0,0,0,0,0,0,1,0
339494303,0,0,0,0,0,0,0,0,0,0,1,0
340494439,0,0,0,0,0,0,0,0,0,0,1,0
341504430,0,0,0,0,0,0,0,0,0,0,1,0
342504441,0,0,0,0,0,0,0,0,0,0,1,0
343514272,0,0,0,0,0,0,0,0,0,0,1,0
344514309,0,0,0,0,0,0,0,0,0,0,1,0
345514436,0,0,0,0,0,0,0,0,0,0,1,0
346524436,0,0,0,0,0,0,0,0,0,0,1,0
347534461,0,0,0,0,0,0,0,0,0,0,1,0
348544265,0,0,0,0,0,0,0,0,0,0,1,0
349544268,0,0,0,0,0,0,0,0,0,0,1,0
350544441,0,0,0,0,0,0,0,0,0,0,1,0
351554436,0,0,0,0,0,0,0,0,0,0,1,0
352564293,0,0,0,0,0,0,0,0,0,0,1,0
353564436,0,0,0,0,0,0,0,0,0,0,1,0
354574428,0,0,0,0,0,0,0,0,0,0,1,0
355584469,0,0,0,0,0,0,0,0,0,0,1,0
356594444,0,0,0,0,0,0,0,0,0,0,1,0
357594469,0,0,0,0,0,0,0,0,0,0,1,0
358604457,0,0,0,0,0,0,0,0,0,0,1,0
359614268,0,0,0,0,0,0,0,0,0,0,1,0
360624464,0,0,0,0,0,0,0,0,0,0,1,0
361634274,0,0,0,0,0,0,0,0,0,0,1,0
362634448,0,0,0,0,0,0,0,0,0,0,1,0
363644451,0,0,0,0,0,0,0,0,0,0,1,0
364654435,0,0,0,0,0,0,0,0,0,0,1,0
365664406,0,0,0,0,0,0,0,0,0,0,1,0
366664433,0,0,0,0,0,0,0,0,0,0,1,0
367664435,0,0,0,0,0,0,0,0,0,0,1,0
368674461,0,0,0,0,0,0,0,0,0,0,1,0
369684464,0,0,0,0,0,0,0,0,0,0,1,0
370694439,0,0,0,0,0,0,0,0,0,0,1,0
371704463,0,0,0,0,0,0,0,0,0,0,1,0
372714446,0,0,0,0,0,0,0,0,0,0,1,0
373724432,0,0,0,0,0,0,0,0,0,0,1,0
374734463,0,0,0,0,0,0,0,0,0,0,1,0
375744436,0,0,0,0,0,0,0,0,0,0,1,0
376754451,0,0,0,0,0,0,0,0,0,0,1,0
377764460,0,0,0,0,0,0,0,0,0,0,1,0
378774284,0,0,0,0,0,0,0,0,0,0,1,0
379774429,0,0,0,0,0,0,0,0,0,0,1,0
380784456,0,0,0,0,0,0,0,0,0,0,1,0
381784462,0,0,0,0,0,0,0,0,0,0,1,0
382784495,0,0,0,0,0,0,0,0,0,0,1,0
383794276,0,0,0,0,0,0,0,0,0,0,1,0
384794451,0,0,0,0,0,0,0,0,0,0,1,0
385804257,0,0,0,0,0,0,0,0,0,0,1,0
386804428,0,0,0,0,0,0,0,0,0,0,1,0
387804449,0,0,0,0,0,0,0,0,0,0,1,0
388814437,0,0,0,0,0,0,0,0,0,0,1,0
389814509,0,0,0,0,0,0,0,0,0,0,1,0
390824284,0,0,0,0,0,0,0,0,0,0,1,0
391824428,0,0,0,0,0,0,0,0,0,0,1,0
392834474,0,0,0,0,0,0,0,0,0,0,1,0
393844460,0,0,0,0,0,0,0,0,0,0,1,0
394854432,0,0,0,0,0,0,0,0,0,0,1,0
395864466,0,0,0,0,0,0,0,0,0,0,1,0
396874433,0,0,0,0,0,0,0,0,0,0,1,0
397884461,0,0,0,0,0,0,0,0,0,0,1,0
398894303,0,0,0,0,0,0,0,0,0,0,1,0
399904460,0,0,0,0,0,0,0,0,0,0,1,0
400914430,0,0,0,0,0,0,0,0,0,0,1,0
401914449,0,0,0,0,0,0,0,0,0,0,1,0
402924276,0,0,0,0,0,0,0,0,0,0,1,0
403924301,0,0,0,0,0,0,0,0,0,0,1,0
404934284,0,0,0,0,0,0,0,0,0,0,1,0
405934439,0,0,0,0,0,0,0,0,0,0,1,0
406944262,0,0,0,0,0,0,0,0,0,0,1,0
407944429,0,0,0,0,0,0,0,0,0,0,1,0
408944470,0,0,0,0,0,0,0,0,0,0,1,0
409954444,0,0,0,0,0,0,0,0,0,0,1,0
410964435,0,0,0,0,0,0,0,0,0,0,1,0
411974474,0,0,0,0,0,0,0,0,0,0,1,0
412984441,0,0,0,0,0,0,0,0,0,0,1,0
413994449,0,0,0,0,0,0,0,0,0,0,1,0
415004297,0,0,0,0,0,0,0,0,0,0,1,0
416004457,0,0,0,0,0,0,0,0,0,0,1,0
417014434,0,0,0,0,0,0,0,0,0,0,1,0
418024431,0,0,0,0,0,0,0,0,0,0,1,0
419024443,0,0,0,0,0,0,0,0,0,0,1,0
420034429,0,0,0,0,0,0,0,0,0,0,1,0
421034469,0,0,0,0,0,0,0,0,0,0,1,0
422044440,0,0,0,0,0,0,0,0,0,0,1,0
423044441,0,0,0,0,0,0,0,0,0,0,1,0
424044442,0,0,0,0,0,0,0,0,0,0,1,0
425054508,0,0,0,0,0,0,0,0,0,0,1,0
426064265,0,0,0,0,0,0,0,0,0,0,1,0
427064434,0,0,0,0,0,0,0,0,0,0,1,0
428074436,0,0,0,0,0,0,0,0,0,0,1,0
429084438,0,0,0,0,0,0,0,0,0,0,1,0
430084503,0,0,0,0,0,0,0,0,0,0,1,0
431094268,0,0,0,0,0,0,0,0,0,0,1,0
432094433,0,0,0,0,0,0,0,0,0,0,1,0
433094446,0,0,0,0,0,0,0,0,0,0,1,0
434104257,0,0,0,0,0,0,0,0,0,0,1,0
435104269,0,0,0,0,0,0,0,0,0,0,1,0
436114438,0,0,0,0,0,0,0,0,0,0,1,0
437114438,0,0,0,0,0,0,0,0,0,0,1,0
438124469,0,0,0,0,0,0,0,0,0,0,1,0
439134462,0,0,0,0,0,0,0,0,0,0,1,0
440144434,0,0,0,0,0,0,0,0,0,0,1,0
441154273,0,0,0,0,0,0,0,0,0,0,1,0
442154441,0,0,0,0,0,0,0,0,0,0,1,0
443164266,0,0,0,0,0,0,0,0,0,0,1,0
444164270,0,0,0,0,0,0,0,0,0,0,1,0
445164429,0,0,0,0,0,0,0,0,0,0,1,0
446164435,0,0,0,0,0,0,0,0,0,0,1,0
447164440,0,0,0,0,0,0,0,0,0,0,1,0
448174459,0,0,0,0,0,0,0,0,0,0,1,0
449184446,0,0,0,0,0,0,0,0,0,0,1,0
450194437,0,0,0,0,0,0,0,0,0,0,1,0
451204513,0,0,0,0,0,0,0,0,0,0,1,0
452214438,0,0,0,0,0,0,0,0,0,0,1,0
453224428,0,0,0,0,0,0,0,0,0,0,1,0
454234300,0,0,0,0,0,0,0,0,0,0,1,0
455244441,0,0,0,0,0,0,0,0,0,0,1,0
456254442,0,0,0,0,0,0,0,0,0,0,1,0
457264457,0,0,0,0,0,0,0,0,0,0,1,0
458274278,0,0,0,0,0,0,0,0,0,0,1,0
459274439,0,0,0,0,0,0,0,0,0,0,1,0
460284459,0,0,0,0,0,0,0,0,0,0,1,0
461294283,0,0,0,0,0,0,0,0,0,0,1,0
462294304,0,0,0,0,0,0,0,0,0,0,1,0
463294475,0,0,0,0,0,0,0,0,0,0,1,0
464304260,0,0,0,0,0,0,0,0,0,0,1,0
465304431,0,0,0,0,0,0,0,0,0,0,1,0
466314435,0,0,0,0,0,0,0,0,0,0,1,0
467324436,0,0,0,0,0,0,0,0,0,0,1,0
468334431,0,0,0,0,0,0,0,0,0,0,1,0
469344264,0,0,0,0,0,0,0,0,0,0,1,0
470344311,0,0,0,0,0,0,0,0,0,0,1,0
471344503,0,0,0,0,0,0,0,0,0,0,1,0
472354432,0,0,0,0,0,0,0,0,0,0,1,0
473354433,0,0,0,0,0,0,0,0,0,0,1,0
474364428,0,0,0,0,0,0,0,0,0,0,1,0
475374467,0,0,0,0,0,0,0,0,0,0,1,0
476384263,0,0,0,0,0,0,0,0,0,0,1,0
477384435,0,0,0,0,0,0,0,0,0,0,1,0
478394468,0,0,0,0,0,0,0,0,0,0,1,0
479404262,0,0,0,0,0,0,0,0,0,0,1,0
480404445,0,0,0,0,0,0,0,0,0,0,1,0
481414279,0,0,0,0,0,0,0,0,0,0,1,0
482414427,0,0,0,0,0,0,0,0,0,0,1,0
483424296,0,0,0,0,0,0,0,0,0,0,1,0
484424298,0,0,0,0,0,0,0,0,0,0,1,0
485424433,0,0,0,0,0,0,0,0,0,0,1,0
486434440,0,0,0,0,0,0,0,0,0,0,1,0
487444438,0,0,0,0,0,0,0,0,0,0,1,0
488454435,0,0,0,0,0,0,0,0,0,0,1,0
489464257,0,0,0,0,0,0,0,0,0,0,1,0
490464261,0,0,0,0,0,0,0,0,0,0,1,0
491464442,0,0,0,0,0,0,0,0,0,0,1,0
492474436,0,0,0,0,0,0,0,0,0,0,1,0
493474439,0,0,0,0,0,0,0,0,0,0,1,0
