timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
267437036,267334369,6780433,455.69543,0.13311839,-0.14675903,12.38504,0.00019322785
267786749,267680748,6780433,455.69025,0.13317837,-0.21777344,12.385048,0.00042547064
268396751,268286948,6780433,455.68436,0.13323918,-0.120666504,12.3851385,0.00013062614
268916761,268806567,6780433,455.67624,0.13324341,-0.22903442,12.385121,0.00047060737
269426755,269326151,6780433,455.67172,0.13308519,-0.17965698,12.38496,0.00028956833
269946895,269845747,6780433,455.6718,0.13309462,0.1697998,12.384971,0.00025866454
270386749,270278747,6780433,455.6793,0.13321303,0.14468384,12.385097,0.0001878011
270816763,270711777,6780433,455.6874,0.13316418,0.116760254,12.385057,0.0001223065
271426900,271317948,6780433,455.69272,0.13322699,0.11514282,12.385157,0.000118940494
271946761,271837548,6780433,455.70026,0.13323283,-0.09329224,12.385541,7.807887e-05
272636749,272530375,6780433,455.882,0.13262677,0.13418579,12.389079,0.00016148476
272726751,272616948,6780433,455.88385,0.1326949,0.17105103,12.386659,0.00026245488
273416944,273309751,6780433,455.8788,0.13273276,-0.28320312,12.38477,0.0007195577
273846753,273742748,6780433,455.87296,0.13273366,-0.052520752,12.384717,2.474761e-05
274456896,274348947,6780433,455.86197,0.13285752,-0.16595459,12.384778,0.0002470858
274886752,274781947,6780433,455.85443,0.13284548,-0.290802,12.3847475,0.0007586913
275316937,275214948,6780433,455.8466,0.13282774,-0.24023438,12.384725,0.0005177754
275926902,275821148,6780433,455.8339,0.13293149,-0.16125488,12.384822,0.00023328858
276446748,276340748,6780433,455.82358,0.13296674,-0.14181519,12.384853,0.00018043138
276876903,276773747,6780433,455.81512,0.13293646,-0.08047485,12.384823,5.8101596e-05
277396746,277293374,6780433,455.80997,0.1329642,-0.09527588,12.384836,8.143914e-05
277916971,277812948,6780433,455.80106,0.1329921,-0.11074829,12.384878,0.00011003727
278346747,278245975,6780433,455.79486,0.1329592,-0.17663574,12.384853,0.00027991345
278956895,278852147,6780433,455.78604,0.13304432,-0.18417358,12.384966,0.0003043108
279126899,279025352,6780433,455.78314,0.13299546,-0.16027832,12.384919,0.00023046973
279906765,279804748,6780433,455.77768,0.13302521,-0.09942627,12.384891,8.868856e-05
280426926,280324369,6780433,455.77582,0.1330421,0.1706543,12.384897,0.00026127603
280946900,280843947,6780433,455.76932,0.13305692,-0.10202026,12.384961,9.33761e-05
281206751,281103747,6780433,455.77036,0.13306361,0.09484863,12.384949,8.0709644e-05
281906899,281796566,6780433,455.77048,0.13319094,0.08178711,12.385076,6.001068e-05
282156900,282056348,6780433,455.77243,0.13303089,0.09643555,12.3849125,8.343319e-05
282936906,282835748,6780433,455.77148,0.13305445,-0.17306519,12.38493,0.0002687097
283026899,282922360,6780433,455.7728,0.13311312,0.1199646,12.384992,0.0001291124
283896904,283788372,6780433,455.77795,0.13318893,0.09240723,12.385058,7.66075e-05
284416754,284307999,6780433,455.7798,0.13319932,0.1690979,12.385072,0.00025652835
284936899,284827547,6780433,455.776,0.13320847,-0.1104126,12.385118,0.000109369095
285366755,285260569,6780433,455.7743,0.1331601,0.16253662,12.3850355,0.00023700783
285796752,285693568,6780433,455.7759,0.13310982,-0.16137695,12.385006,0.00023363844
286406901,286299750,6780433,455.76868,0.13317357,-0.15701294,12.385066,0.00022117195
286836751,286732748,6780433,455.76602,0.13312884,0.09194946,12.3850155,7.585065e-05
287266896,287165747,6780433,455.76343,0.1330818,-0.09295654,12.384957,7.752163e-05
287876904,287771948,6780433,455.7611,0.13314953,-0.14590454,12.3850355,0.00019098437
288396758,288291568,6780433,455.75507,0.133158,-0.18084717,12.385044,0.0002934157
288746762,288637948,6780433,455.74973,0.13321817,-0.10470581,12.385105,9.835567e-05
289346974,289244175,6780433,455.74332,0.13311459,-0.1689148,12.3849945,0.0002559747
289956898,289850358,6780433,455.7385,0.13317764,-0.19445801,12.38508,0.00033924257
290306756,290196772,6780433,455.73087,0.13323618,-0.20327759,12.385152,0.0003707107
290816951,290716364,6780433,455.72223,0.13307546,-0.14459229,12.384976,0.00018756533
291426904,291322548,6780433,455.7158,0.13314411,-0.15628052,12.385021,0.00021911412
291776901,291668948,6780433,455.71103,0.13320544,-0.10308838,12.38509,9.5340576e-05
292376756,292275148,6780433,455.7073,0.13310368,-0.10107422,12.384988,9.165216e-05
292726895,292621568,6780433,455.70557,0.1331649,-0.15454102,12.385056,0.00021426294
293076903,292967949,6780433,455.703,0.13322449,-0.12454224,12.385101,0.00013915257
293596900,293487548,6780433,455.70053,0.1332305,-0.09454346,12.385104,8.0190104e-05
294116944,294007148,6780433,455.69897,0.13323581,-0.12423706,12.385112,0.00013847134
294806973,294699948,6780433,455.70163,0.13318676,0.10519409,12.385073,9.92754e-05
295236898,295132948,6780433,455.70428,0.1331373,0.1255188,12.385052,0.00014134393
295926896,295825748,6780433,455.69485,0.133094,-0.11642456,12.3849945,0.00012160485
296366756,296258748,6780433,455.68945,0.13321249,0.0914917,12.385084,7.509688e-05
296626904,296518569,6780433,455.68906,0.13321637,-0.14898682,12.385118,0.0001991375
297406895,297297948,6780433,455.6843,0.13322657,-0.20840454,12.385117,0.00038964735
297926899,297817548,6780433,455.68652,0.13323233,0.114349365,12.385131,0.00011730713
298446897,298337148,6780433,455.6889,0.13323738,0.12774658,12.385109,0.00014640512
298876904,298770148,6780433,455.68985,0.13318603,-0.10317993,12.385107,9.550986e-05
299396748,299289780,6780433,455.68723,0.13319004,0.07485962,12.385093,5.0275157e-05
299736751,299636149,6780433,455.69382,0.13308564,0.14468384,12.384994,0.00018780265
300436752,300328948,6780433,455.6981,0.13320939,0.15289307,12.385137,0.00020971634
300956899,300848569,6780433,455.70502,0.1332173,0.16873169,12.385139,0.00025541705
301126900,301021777,6780433,455.71048,0.13316461,0.15438843,12.385076,0.00021383968
301906905,301801151,6780433,455.7194,0.13317423,0.10446167,12.385082,9.7897704e-05
302426774,302320748,6780433,455.72388,0.13317965,0.10671997,12.385084,0.00010217624
302946896,302840376,6780433,455.73438,0.13318446,0.11743164,12.385086,0.00012371682
303206927,303100148,6780433,455.73746,0.13318662,0.11264038,12.385099,0.00011382724
303896903,303792948,6780433,455.74628,0.133139,0.15151978,12.385041,0.00020596747
304416769,304312569,6780433,455.75586,0.13314876,0.19482422,12.385053,0.00034052227
304936748,304832148,6780433,455.76056,0.13315734,0.337677,12.385062,0.0010229684
305456753,305351775,6780433,455.7614,0.13316487,0.119903564,12.385065,0.0001289803
305886749,305784749,6780433,455.76566,0.13311411,0.047851562,12.385061,2.0542418e-05
