timestamp,nav_state,failure
266740469,14,0
267254566,14,0
267764461,14,0
268264473,14,0
268774308,14,0
269284333,14,0
269834337,14,0
270344340,14,0
270844394,14,0
271354320,14,0
271864340,14,0
272414341,14,0
272924356,14,0
273424395,14,0
273934351,14,0
274444549,14,0
274994586,14,0
275504363,14,0
276004507,14,0
276514585,14,0
277024323,14,0
277524361,14,0
278034345,14,0
278534372,14,0
279044377,14,0
279554360,14,0
280104542,14,0
280614602,14,0
281164333,14,0
281674511,14,0
282184596,14,0
282734577,14,0
283244641,14,0
283750280,14,0
284254512,14,0
284762225,14,0
285264584,14,0
285774572,14,0
286280339,14,0
286784361,14,0
287292200,14,0
287794349,14,0
288304561,14,0
288810248,14,0
289314538,14,0
289822199,14,0
290324345,14,0
290834406,14,0
291334514,14,0
291844388,14,0
292352260,14,0
292854534,14,0
293364391,14,0
293870297,14,0
294374591,14,0
294882280,14,0
295384317,14,0
295894374,14,0
296394583,14,0
296904529,14,0
297412250,14,0
297914541,14,0
298424514,14,0
298930247,14,0
299434316,14,0
299942239,14,0
300444564,14,0
300954456,14,0
301460292,14,0
301964346,14,0
302472198,14,0
302974392,14,0
303484585,14,0
303990284,14,0
304494327,14,0
305002199,14,0
305504336,14,0
306014394,14,0
306514527,14,0
307024323,14,0
307532228,14,0
308034530,14,0
308544586,14,0
309050397,14,0
309554614,14,0
310062199,14,0
310564345,14,0
311074566,14,0
311580244,14,0
312084531,14,0
312592278,14,0
313094545,14,0
313604406,14,0
314104573,14,0
314614520,14,0
315122275,14,0
315624507,14,0
316134469,14,0
316640304,14,0
317144568,14,0
317652199,14,0
318154532,14,0
318664557,14,0
319170246,14,0
319674327,14,0
320182199,14,0
320684605,14,0
321194589,14,0
321700247,14,0
322204539,14,0
322712226,14,0
323214371,14,0
323724559,14,0
324230294,14,0
324734405,14,0
325242200,14,0
325744311,14,0
326254444,14,0
326754515,14,0
327264389,14,0
327772218,14,0
328274518,14,0
328784611,14,0
329290245,14,0
329794543,14,0
330302304,14,0
330804507,14,0
331314377,14,0
331814429,14,0
